m,Training Error,Test Error,stock_weights
10,0.7012177959266287,0.8388875840665383,"{'weight': {'ATVI': 0.04420008162515847, 'ALGN': 0.02499587429403969, 'EXPE': 0.021500981845609637, 'KHC': 0.023389314412141288, 'LBTYK': 0.03783494391598749, 'MXIM': 0.15698580809468005, 'MSFT': 0.4910305234120454, 'ROST': 0.09115180445885859, 'VRTX': 0.046216031808784155, 'XEL': 0.06269463613269519}}"
20,0.4737360337984597,0.6825726084782858,"{'weight': {'ATVI': 0.017392765628436044, 'ALGN': 0.021534265890069754, 'GOOGL': 0.18600135597124504, 'ANSS': 0.06718135594902681, 'ADP': 0.030853712366306112, 'BIIB': 0.006534925953102491, 'BKNG': 0.030243575457159853, 'CMCSA': 0.04730223135940139, 'DLTR': 0.020076783191539254, 'JD': 0.04482793372848221, 'KHC': 0.026861982108020124, 'LBTYK': 0.006918215823245968, 'MXIM': 0.1138975121824571, 'MSFT': 0.25789340359844537, 'MRNA': 0.003620519494996868, 'PCAR': 0.036235523635642496, 'PDD': 0.011097676620289931, 'ULTA': 0.009556869422624936, 'VRTX': 0.023117979718176047, 'XEL': 0.038851411901332095}}"
30,0.418014755023017,0.5490849328816335,"{'weight': {'ATVI': 0.01688990149118497, 'ADBE': 0.031105451684463964, 'GOOGL': 0.18063401599195283, 'AMAT': 0.03814396109159654, 'ADP': 0.0, 'BIIB': 0.002714304247327367, 'CTXS': 0.0, 'CMCSA': 0.05258331223545323, 'DXCM': 0.024380141367160876, 'DOCU': 0.0, 'DLTR': 0.009086141155450849, 'EXPE': 0.032873689597096134, 'ILMN': 0.0024986343637332584, 'JD': 0.027762055622187337, 'KHC': 0.007674981942930641, 'LBTYK': 0.015617808066049312, 'LULU': 0.018384124418562638, 'MXIM': 0.06751392016117162, 'MSFT': 0.25330168134122644, 'MRNA': 0.00499871510589547, 'MNST': 0.0, 'PCAR': 0.03705621618520096, 'PEP': 0.05328053052616138, 'PDD': 0.0027228433158445605, 'QCOM': 0.020303301653446307, 'TMUS': 0.00460090606571148, 'TSLA': 0.03379896623609214, 'ULTA': 0.011132161512151522, 'VRTX': 0.036662056667094586, 'XEL': 0.014280177954853718}}"
40,0.370517222555205,0.5873120559529976,"{'weight': {'ATVI': 0.02889294601289469, 'ADBE': 0.029164233385766413, 'ALGN': 0.006209315601225334, 'GOOGL': 0.1347825855992314, 'AMGN': 0.0459177301116049, 'AMAT': 0.027686816125936948, 'ADP': 0.0, 'BIIB': 0.0, 'CERN': 0.0034677219229687552, 'CHKP': 0.015503860562619015, 'CTSH': 0.05173308204875875, 'CMCSA': 0.02940411181617257, 'CPRT': 0.0, 'DXCM': 0.005805790091980068, 'DOCU': 0.0005455228618796709, 'DLTR': 0.011572033145195674, 'EBAY': 0.03937184282599172, 'EXPE': 0.014628919032589328, 'ILMN': 0.004731296837500307, 'JD': 0.03203029501573265, 'KHC': 0.010644295701425673, 'LBTYA': 0.0, 'LULU': 0.012655273907545334, 'MXIM': 0.07323045241236727, 'MELI': 0.008954245524453324, 'MSFT': 0.22163760878852803, 'MRNA': 0.007989525653661853, 'MDLZ': 0.01695988207423979, 'MNST': 0.009115408336973871, 'ORLY': 0.0, 'PCAR': 0.007170300184881275, 'PDD': 0.006156686529441781, 'QCOM': 0.020102230508839126, 'SIRI': 0.04304831781007238, 'TMUS': 0.024656527182490402, 'TSLA': 0.025884817913517606, 'ULTA': 0.0115371669825651, 'VRTX': 0.0069369021100499795, 'WBA': 0.008546508133749497, 'XEL': 0.003325747247149592}}"
50,0.33254009291547604,0.5811479442370378,"{'weight': {'ATVI': 0.01945631641398464, 'ADBE': 0.03434141488995194, 'ALXN': 0.007062188505376727, 'ALGN': 0.007860960815349365, 'GOOGL': 0.12951478216037815, 'AMGN': 0.03049140388466862, 'AMAT': 0.03771634412862912, 'ADP': 0.0, 'BIIB': 0.0, 'CDW': 0.022407960906976332, 'CERN': 0.0037617362845524752, 'CHTR': 0.03670060178852656, 'CHKP': 0.02148786687484098, 'CTXS': 0.0, 'CTSH': 0.04320011334184838, 'CMCSA': 0.021917827166661345, 'CPRT': 0.0, 'COST': 0.0293321964672089, 'DXCM': 0.010486042904886273, 'DOCU': 0.0, 'DLTR': 0.006702051615683606, 'EBAY': 0.03338652779266769, 'EXPE': 0.01839609948784577, 'GILD': 0.0, 'ILMN': 0.01107229442399636, 'JD': 0.034327946121982235, 'KHC': 0.013079333605748814, 'LBTYA': 0.0032676990545846226, 'LULU': 0.007855825176847993, 'MXIM': 0.054822613086891604, 'MELI': 0.005254204185723423, 'MSFT': 0.17250922005472955, 'MRNA': 0.005838819594831308, 'MNST': 0.0060386971013104826, 'NFLX': 0.025467839692085742, 'ORLY': 0.0, 'PCAR': 0.01503974820270995, 'PEP': 0.026548787052952338, 'PDD': 0.006408970245451588, 'QCOM': 0.019643034159281536, 'ROST': 0.004902067703752891, 'SGEN': 0.012263735972386863, 'SIRI': 0.02936402615435168, 'SBUX': 0.0, 'TMUS': 0.0, 'TSLA': 0.023647338526996534, 'ULTA': 0.0063120080252655935, 'VRTX': 0.000693093923567624, 'WBA': 0.0014202625045144125, 'XEL': 0.0}}"
60,0.3448899790645145,0.8194235991971841,"{'weight': {'ATVI': 0.01533975718895081, 'ADBE': 0.050870387155993825, 'AMD': 0.01631114092235863, 'ALXN': 0.0, 'ALGN': 0.011734055943700116, 'GOOGL': 0.15727548626342905, 'AMGN': 0.012697981340741057, 'AMAT': 0.033188145077590936, 'ADP': 0.017844881410852248, 'BIDU': 0.0139694206261018, 'BIIB': 0.002802360323030878, 'BMRN': 0.0, 'BKNG': 0.024648249444889928, 'CDW': 0.02483685931912554, 'CERN': 0.0026729880973515997, 'CHTR': 0.012072220101700351, 'CHKP': 0.0, 'CSCO': 0.05091158223055765, 'CTXS': 0.0, 'CTSH': 0.036003464451330826, 'CMCSA': 0.06660663025044578, 'CPRT': 0.0, 'COST': 0.008331017375377035, 'DXCM': 0.0, 'DOCU': 0.001465816704813747, 'DLTR': 0.009266178927954224, 'EBAY': 0.045677627455834084, 'EA': 0.003189175814053224, 'GILD': 0.0, 'IDXX': 0.013710640659986244, 'ILMN': 0.0, 'INCY': 0.0, 'ISRG': 0.023904452803981433, 'KHC': 0.00495506135340782, 'LBTYA': 0.0, 'LULU': 0.004280226465834018, 'MAR': 0.035896415337832055, 'MXIM': 0.04864353899665833, 'MELI': 0.00691425968829462, 'MRNA': 0.0029488170537350683, 'MNST': 0.006556208231098607, 'NTES': 0.01700546672700732, 'NFLX': 0.034440561238314425, 'ORLY': 0.00653421829289989, 'PCAR': 0.0, 'PEP': 0.0278657185496222, 'PDD': 0.00547382817066325, 'QCOM': 0.014245581263923099, 'REGN': 0.001838902702615352, 'ROST': 0.0007830069178778731, 'SGEN': 0.009249431514779196, 'SIRI': 0.03046807930685809, 'SBUX': 0.014286131499909847, 'SNPS': 0.0359024916303177, 'TMUS': 0.0, 'TSLA': 0.01852253567441239, 'TCOM': 0.006326253518619604, 'ULTA': 0.009139057956441921, 'WBA': 0.0023936880187260963, 'XEL': 0.0}}"
70,0.16982371827530957,0.4024969546377732,"{'weight': {'ATVI': 0.011191256355571994, 'AMD': 0.007895151456321015, 'ALXN': 0.0, 'ALGN': 0.004782439355927663, 'GOOG': 0.0869346316777317, 'AMGN': 0.015537839577944636, 'AAPL': 0.10519960988799677, 'AMAT': 0.018284017643840963, 'ADP': 0.02444353433627832, 'BIDU': 0.005844205899546088, 'BIIB': 0.012667622159308809, 'BMRN': 0.004016644913775369, 'BKNG': 0.01969521082523565, 'CDNS': 0.01871977121861087, 'CDW': 0.0, 'CERN': 0.0, 'CHTR': 0.028118196483078957, 'CHKP': 0.00238685598735575, 'CTAS': 0.002473928521953634, 'CSCO': 0.032685231462354844, 'CTXS': 0.0, 'CTSH': 0.009710708627025734, 'CMCSA': 0.024838229056432796, 'CPRT': 0.0, 'COST': 0.018026058033605557, 'CSX': 0.01050008697123107, 'DXCM': 0.00229865122642107, 'DOCU': 0.0, 'DLTR': 0.002337928450565891, 'EBAY': 0.025200420536506164, 'EA': 0.00054047824497807, 'EXC': 0.0, 'EXPE': 0.0007629167865135461, 'FB': 0.06358584793244575, 'GILD': 0.005736079512433433, 'IDXX': 0.010086945214226971, 'ILMN': 0.010312654891949765, 'INCY': 0.0, 'ISRG': 0.004799097783627071, 'JD': 0.0063400419700492495, 'KHC': 0.009636735080990973, 'LBTYA': 0.0, 'LULU': 0.0058377081945941095, 'MELI': 0.010173816839087566, 'MCHP': 0.031786658130295374, 'MU': 0.015691371087355667, 'MSFT': 0.16147051487567038, 'MRNA': 0.0, 'MDLZ': 0.013437035045969008, 'MNST': 0.0, 'NTES': 0.00043262943664362904, 'NFLX': 0.029613415935922982, 'ORLY': 0.011815410652823934, 'PCAR': 0.0, 'PEP': 0.02758785868437689, 'PDD': 0.002690409736858523, 'QCOM': 0.010095584923927977, 'ROST': 0.011302115466820093, 'SGEN': 0.00353371793794951, 'SIRI': 0.003142650641754629, 'SPLK': 0.0029256459797228087, 'SBUX': 0.003244459033627957, 'TMUS': 0.01618267187483246, 'TSLA': 0.010462985680605505, 'TCOM': 0.0021278149339839765, 'ULTA': 0.003593735588018801, 'VRTX': 0.005219150259032788, 'WBA': 0.0110862652070311, 'WDAY': 0.0009573457712582739, 'XEL': 0.0}}"
80,0.14768252800096177,0.3864307853572691,"{'weight': {'ATVI': 0.008611353419441697, 'AMD': 0.006452940814983315, 'ALXN': 0.001588352534316996, 'ALGN': 0.008198718748018698, 'GOOGL': 0.09678355756039675, 'AMGN': 0.01535657153078309, 'AAPL': 0.09876710268612397, 'AMAT': 0.010507774731993332, 'ADSK': 0.006325290475095306, 'ADP': 0.01392734204764454, 'BIDU': 0.008362188837670379, 'BIIB': 0.01149922386846935, 'BMRN': 0.0006478939755629999, 'BKNG': 0.011409775106170937, 'AVGO': 0.01672385884212989, 'CDNS': 0.017986988837959683, 'CDW': 0.0, 'CERN': 0.0, 'CHTR': 0.016416084611509767, 'CHKP': 0.004774243236917972, 'CTAS': 0.0, 'CSCO': 0.03221368650566746, 'CTXS': 0.009833911189505596, 'CTSH': 0.0012122387783987077, 'CMCSA': 0.02867566732033043, 'CPRT': 0.0, 'COST': 0.01645786223215552, 'CSX': 0.011378454443687925, 'DXCM': 0.0029626461863007554, 'DOCU': 0.000588269854297433, 'DLTR': 0.0, 'EBAY': 0.00781994428904951, 'EA': 0.0, 'EXC': 0.0006042486025644713, 'EXPE': 0.008683924409216497, 'FB': 0.06006614760442566, 'FAST': 0.0, 'FISV': 0.0036127139571425267, 'GILD': 0.00339254696210202, 'IDXX': 0.005820277072367174, 'ILMN': 0.008541262623684244, 'INCY': 0.0, 'INTC': 0.027146710518259648, 'ISRG': 0.007188525360621063, 'JD': 0.00725368919807336, 'KHC': 0.009190251213717953, 'LBTYA': 0.0, 'LULU': 0.002535648902182402, 'MAR': 0.0004815174120562391, 'MELI': 0.011525880531527258, 'MCHP': 0.013458586622922262, 'MU': 0.012573830888375232, 'MSFT': 0.16400098101239657, 'MRNA': 0.0, 'MDLZ': 0.016372107269541372, 'MNST': 0.0, 'NTES': 0.0015654858519642315, 'NFLX': 0.032492483776013575, 'ORLY': 0.0074271398064645385, 'PCAR': 0.0, 'PEP': 0.02263267117662915, 'PDD': 0.00101369203707973, 'QCOM': 0.009525304065936612, 'REGN': 0.0037392211224590534, 'ROST': 0.017248638197808027, 'SGEN': 0.002569489652485055, 'SIRI': 0.004569540233541056, 'SPLK': 0.00037911732733484206, 'SBUX': 0.0, 'TMUS': 0.010338596707674688, 'TTWO': 0.0047283218103034265, 'TSLA': 0.004975243125187318, 'TCOM': 0.0019883917457381582, 'ULTA': 0.004657160907899692, 'VRSK': 0.008444574001233817, 'VRTX': 0.007505098053316623, 'WBA': 0.009549830475342533, 'WDAY': 0.00025136618588428224, 'XEL': 0.0, 'XLNX': 0.016467840913945493}}"
90,0.053779189845471406,0.24758163037062378,"{'weight': {'ATVI': 0.003440798812385678, 'ADBE': 0.020014628603641813, 'AMD': 0.00460909742310416, 'ALXN': 0.0036478208643121557, 'ALGN': 2.3138388351117273e-05, 'GOOG': 0.08418429317253186, 'AMZN': 0.09443299900068035, 'AMGN': 0.01416944741576751, 'ANSS': 0.0, 'AAPL': 0.10190496025364619, 'AMAT': 0.012023029538672531, 'ASML': 0.0031371856989605568, 'ADSK': 0.004044754507069541, 'ADP': 0.015301171957813732, 'BIDU': 0.005551837808162465, 'BIIB': 0.00708950562569668, 'BMRN': 0.0038061419077643557, 'BKNG': 0.010115705717907658, 'AVGO': 0.01060365380626964, 'CDW': 0.0, 'CERN': 0.000147385943055047, 'CHTR': 0.010312262473610483, 'CHKP': 0.004449162103705421, 'CTAS': 0.0034311748356473035, 'CSCO': 0.02626534997052686, 'CTXS': 0.002905947798281101, 'CTSH': 0.004343700596112897, 'CMCSA': 0.021412148105661402, 'CPRT': 0.0, 'COST': 0.012724994001899324, 'CSX': 0.01103539071697962, 'DXCM': 0.001612353085610959, 'DOCU': 0.0, 'DLTR': 0.005667129781342435, 'EBAY': 0.0050094420544221285, 'EA': 0.0008121342425682092, 'EXC': 0.0007603042154371868, 'EXPE': 0.003739682617274682, 'FB': 0.04814017896724356, 'FAST': 0.0019515157010388403, 'FISV': 0.002120116697791081, 'GILD': 0.015060358454654409, 'IDXX': 0.005824507797009624, 'ILMN': 0.004438087302797017, 'INCY': 0.0011388891041029987, 'INTC': 0.034087485938471544, 'INTU': 0.003982994915050535, 'ISRG': 0.010773237551466025, 'JD': 0.004909737487765329, 'KHC': 0.006960688114974973, 'LBTYK': 0.0017530901432325867, 'LULU': 0.0030603080943505637, 'MAR': 0.009753364266762165, 'MELI': 0.0016112034107651524, 'MCHP': 0.013018142013787296, 'MU': 0.0059290893955216886, 'MSFT': 0.10770936260994494, 'MRNA': 0.0, 'MDLZ': 0.017106399634596852, 'MNST': 0.0024380886706820517, 'NTES': 0.0021227831317400525, 'NFLX': 0.017988747277213273, 'NVDA': 0.009538327058450733, 'ORLY': 0.0038633438511619348, 'PCAR': 0.0038934654757744615, 'PAYX': 0.009760190510521167, 'PYPL': 0.02120308571949745, 'PEP': 0.013467505051803677, 'PDD': 0.0, 'QCOM': 0.011590401891372353, 'REGN': 0.005358364414947349, 'ROST': 0.0018524799637211586, 'SGEN': 0.0, 'SIRI': 0.0027539734941799876, 'SPLK': 0.0, 'SBUX': 0.005326837503541869, 'SNPS': 0.005709618038331657, 'TMUS': 0.012106193854240443, 'TTWO': 0.004568819528621161, 'TSLA': 0.006920626574585259, 'TCOM': 0.0017870056818549617, 'ULTA': 0.0033777262822419487, 'VRSN': 0.002223529864950146, 'VRSK': 0.006982277893429053, 'VRTX': 0.006089741281189931, 'WBA': 0.008059097658009362, 'WDAY': 0.001398542163103458, 'WDC': 0.0020643001876658263, 'XEL': 0.007810192968033083, 'XLNX': 0.007687243362935939}}"
100,0.04491115168421994,0.2499362317572081,"{'weight': {'ATVI': 0.004222720908251319, 'ADBE': 0.01713793953924516, 'AMD': 0.0040372162974439225, 'ALXN': 0.002450468706336052, 'ALGN': 0.0, 'GOOGL': 0.056853611700274295, 'GOOG': 0.029693468927273446, 'AMZN': 0.0956104574762698, 'AMGN': 0.013637856811850006, 'ADI': 0.0, 'ANSS': 0.0, 'AAPL': 0.10201307888247868, 'AMAT': 0.0035500092620526125, 'ASML': 0.0013509564406792626, 'ADSK': 0.003924964355605436, 'ADP': 0.014758795378734802, 'BIDU': 0.005130106355264261, 'BIIB': 0.006660170022492329, 'BMRN': 0.003958785855752746, 'BKNG': 0.011348868584161535, 'AVGO': 0.012869649302877494, 'CDNS': 0.0038182937366199616, 'CDW': 0.0, 'CERN': 0.0, 'CHTR': 0.007943260810062781, 'CHKP': 0.0016375936712797754, 'CTAS': 0.002308454291305445, 'CSCO': 0.027210231089416816, 'CTXS': 0.0025424274005487924, 'CTSH': 0.0036976851482511015, 'CMCSA': 0.02322016043196634, 'CPRT': 0.0, 'COST': 0.011314319726749596, 'CSX': 0.010324135121911012, 'DXCM': 0.001428788193964863, 'DOCU': 0.0, 'DLTR': 0.006826663325290484, 'EBAY': 0.005055940444489997, 'EA': 0.0023890566641104672, 'EXC': 0.004071142764717863, 'EXPE': 0.002746503699717531, 'FB': 0.04732340993069225, 'FAST': 0.0018655702519493652, 'FISV': 0.0036895299699191836, 'GILD': 0.012109669861658763, 'IDXX': 0.000717869788219159, 'ILMN': 0.005384100129693121, 'INCY': 0.0017026054415076332, 'INTC': 0.03240196063436846, 'INTU': 0.007670174307249394, 'ISRG': 0.011000167979917874, 'JD': 0.005168049480888588, 'KLAC': 0.005196537070764761, 'KHC': 0.006509563022567256, 'LRCX': 0.002483133833169086, 'LBTYA': 0.0, 'LBTYK': 0.0029456368560041033, 'LULU': 0.002368003477477363, 'MAR': 0.009072899568093146, 'MXIM': 0.010521430921886836, 'MELI': 0.002119489857756443, 'MCHP': 0.004217380651325529, 'MU': 0.0053271073818793035, 'MSFT': 0.10135872968349928, 'MRNA': 0.00038943438954728215, 'MDLZ': 0.013928370429585496, 'MNST': 0.0012299510814374004, 'NTES': 0.0031235123380504927, 'NFLX': 0.016272864019662193, 'NVDA': 0.009578587973121786, 'NXPI': 0.0023183664122231294, 'ORLY': 0.0036720805571187356, 'PCAR': 0.00409810251857686, 'PAYX': 0.006407098223304497, 'PYPL': 0.02038219300177591, 'PEP': 0.01587001169199598, 'PDD': 2.1067512483800053e-05, 'QCOM': 0.011140081114047856, 'REGN': 0.0055939616186539325, 'ROST': 0.004573841522538255, 'SGEN': 0.0, 'SIRI': 0.006041402960747142, 'SWKS': 0.0, 'SPLK': 0.0, 'SBUX': 0.005012283041305016, 'SNPS': 0.005117283662374393, 'TMUS': 0.010324265502248214, 'TTWO': 0.00214736495509902, 'TSLA': 0.006510395078432819, 'TXN': 0.012616944451146962, 'TCOM': 0.0004626489094936433, 'ULTA': 0.003833349875313132, 'VRSN': 0.006179904683851832, 'VRSK': 0.006636551084897981, 'VRTX': 0.008831551955070134, 'WBA': 0.009130399576279799, 'WDAY': 0.0025551983027867027, 'WDC': 0.0, 'XEL': 0.003661890845224025, 'XLNX': 0.005442239283672602}}"
